Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/04/2023 07:07 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=oEJg1s
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2022,2012"
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2012,Eswatini,SWZ,-,-,59,166,-
2012,Sweden,SWE,-,-,21,41,-
2012,Switzerland,CHE,-,-,16,5,-
2012,"Syrian Arab Rep.",SYR,-,-,729011,26016,-
2012,"United Rep. of Tanzania",TZA,-,-,1109,807,-
2012,"Turks and Caicos Islands",TCA,-,-,14,9,-
2012,Thailand,THA,-,-,378,172,-
2012,Tibetan,TIB,-,-,15000,0,-
2012,Tajikistan,TJK,-,-,669,445,-
2012,Turkmenistan,TKM,-,-,708,125,-
2012,Timor-Leste,TLS,-,-,8,6,-
2012,Togo,TGO,-,-,15683,3018,-
2012,Tonga,TON,-,-,11,39,-
2012,"Trinidad and Tobago",TTO,-,-,335,90,-
2012,Tunisia,TUN,-,-,1918,2279,-
2012,Türkiye,TUR,-,-,135353,8857,-
2012,Tuvalu,TUV,-,-,0,5,-
2012,"United Arab Emirates",ARE,-,-,580,13,-
2012,Uganda,UGA,-,-,5588,3076,-
2012,"Unknown ",,-,-,132803,226457,-
2012,Ukraine,UKR,-,-,25248,1209,-
2012,Uruguay,URY,-,-,168,33,-
2012,"United States of America",USA,-,-,4454,417,-
2012,Uzbekistan,UZB,-,-,11593,1429,-
2012,"Saint Vincent and the Grenadines",VCT,-,-,1315,486,-
2012,"Venezuela (Bolivarian Republic of)",VEN,-,-,8204,496,-
2012,Samoa,WSM,-,-,0,11,-
2012,"Western Sahara",ESH,-,-,116451,128,-
2012,Yemen,YEM,-,-,2582,1581,-
2012,Zambia,ZMB,-,-,240,244,-
2012,Zimbabwe,ZWE,-,-,22082,41723,-
2022,Afghanistan,AFG,-,-,2840672,270533,-
2022,Anguilla,AIA,-,-,0,5,-
2022,Albania,ALB,-,-,20263,24519,-
2022,Algeria,DZA,-,-,7129,7247,-
2022,Andorra,AND,-,-,5,6,-
2022,Angola,AGO,-,-,11684,13991,-
2022,"Antigua and Barbuda",ATG,-,-,49,55,-
2022,Egypt,EGY,-,-,25222,24173,-
2022,Argentina,ARG,-,-,164,2075,-
2022,Armenia,ARM,-,-,14446,10528,-
2022,Australia,AUS,-,-,34,41,-
2022,Austria,AUT,-,-,26,5,-
2022,Azerbaijan,AZE,-,-,41632,5324,-
2022,Bahrain,BHR,-,-,356,147,-
2022,Barbados,BRB,-,-,192,169,-
2022,Burundi,BDI,-,-,318980,52391,-
2022,Belgium,BEL,-,-,27,96,-
2022,Benin,BEN,-,-,784,1352,-
2022,Bangladesh,BGD,-,-,23388,67080,-
2022,Bahamas,BHS,-,-,628,877,-
2022,Bhutan,BTN,-,-,6704,469,-
2022,"Burkina Faso",BFA,-,-,29116,23244,-
2022,Belarus,BLR,-,-,8920,7231,-
2022,"Bolivia (Plurinational State of)",BOL,-,-,562,1805,-
2022,Botswana,BWA,-,-,62,404,-
2022,Brazil,BRA,-,-,2271,35297,-
2022,"Brunei Darussalam",BRN,-,-,0,6,-
2022,"Bosnia and Herzegovina",BIH,-,-,18176,1401,-
2022,Bulgaria,BGR,-,-,606,343,-
2022,Belize,BLZ,-,-,64,400,-
2022,Cambodia,KHM,-,-,11666,826,-
2022,Canada,CAN,-,-,131,186,-
2022,"Central African Rep.",CAF,-,-,737883,14094,-
2022,"Cayman Islands",CYM,-,-,5,0,-
2022,Chad,TCD,-,-,12431,7731,-
2022,China,CHN,-,-,164342,116868,-
2022,Chile,CHL,-,-,1238,9991,-
2022,Cameroon,CMR,-,-,138249,21688,-
2022,Congo,COG,-,-,14152,12705,-
2022,"Dem. Rep. of the Congo",COD,-,-,909850,142253,-
2022,Comoros,COM,-,-,1739,1425,-
2022,Colombia,COL,-,-,116150,104195,-
2022,"Costa Rica",CRI,-,-,256,1090,-
2022,Cuba,CUB,-,-,12324,107904,-
2022,"Curacao ",CUW,-,-,35,0,-
2022,"Cabo Verde",CPV,-,-,10,280,-
2022,Cyprus,CYP,-,-,0,27,-
2022,Czechia,CZE,-,-,611,152,-
2022,Denmark,DNK,-,-,0,27,-
2022,Djibouti,DJI,-,-,1690,1040,-
2022,Dominica,DMA,-,-,50,153,-
2022,"Dominican Rep.",DOM,-,-,665,5273,-
2022,Ecuador,ECU,-,-,2377,34670,-
2022,"Equatorial Guinea",GNQ,-,-,165,296,-
2022,Eritrea,ERI,-,-,501677,76071,-
2022,Estonia,EST,-,-,162,52,-
2022,Ethiopia,ETH,-,-,151843,144204,-
2022,"French Guiana",GUF,-,-,7,114,-
2022,Fiji,FJI,-,-,368,3173,-
2022,Finland,FIN,-,-,5,10,-
2022,France,FRA,-,-,57,339,-
2022,Gabon,GAB,-,-,674,723,-
2022,Gambia,GMB,-,-,11315,5083,-
2022,Palestinian,PSE,-,-,103001,8050,-
2022,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,163,340,-
2022,Georgia,GEO,-,-,11924,20789,-
2022,Germany,DEU,-,-,102,285,-
2022,Ghana,GHA,-,-,14877,9464,-
2022,Guadeloupe,GLP,-,-,0,85,-
2022,Guinea-Bissau,GNB,-,-,2049,2384,-
2022,Greece,GRC,-,-,113,190,-
2022,Grenada,GRD,-,-,52,99,-
2022,Guatemala,GTM,-,-,28421,162785,-
2022,Guinea,GIN,-,-,36026,25163,-
2022,Guyana,GUY,-,-,228,874,-
2022,Haiti,HTI,-,-,28981,147576,-
2022,"China, Hong Kong SAR",HKG,-,-,108,761,-
2022,Honduras,HND,-,-,57492,181038,-
2022,Croatia,HRV,-,-,17867,56,-
2022,Hungary,HUN,-,-,1952,762,-
2022,Iceland,ISL,-,-,92,9,-
2022,"Cote d'Ivoire",CIV,-,-,29593,22019,-
2022,India,IND,-,-,17001,82125,-
2022,Indonesia,IDN,-,-,13687,6352,-
2022,Ireland,IRL,-,-,23,173,-
2022,"Iran (Islamic Rep. of)",IRN,-,-,142346,64937,-
2022,Iraq,IRQ,-,-,345305,240468,-
2022,Israel,ISR,-,-,582,900,-
2022,Italy,ITA,-,-,107,787,-
2022,Jamaica,JAM,-,-,1848,2738,-
2022,Jordan,JOR,-,-,3257,5954,-
2022,Japan,JPN,-,-,59,138,-
2022,Kazakhstan,KAZ,-,-,3583,6261,-
2022,Kenya,KEN,-,-,7630,10168,-
2022,Kyrgyzstan,KGZ,-,-,3257,3025,-
2022,Kiribati,KIR,-,-,0,10,-
2022,"Rep. of Korea",KOR,-,-,124,917,-
2022,"Dem. People's Rep. of Korea",PRK,-,-,295,104,-
2022,Kuwait,KWT,-,-,1793,2146,-
2022,"Lao People's Dem. Rep.",LAO,-,-,6635,495,-
2022,Liberia,LBR,-,-,5136,3030,-
2022,Libya,LBY,-,-,17934,5570,-
2022,"Saint Lucia",LCA,-,-,87,104,-
2022,Lebanon,LBN,-,-,6506,9107,-
2022,Lesotho,LSO,-,-,10,46,-
2022,Liechtenstein,LIE,-,-,5,0,-
2022,"Sri Lanka",LKA,-,-,144757,13220,-
2022,Lithuania,LTU,-,-,63,95,-
2022,Latvia,LVA,-,-,106,122,-
2022,"China, Macao SAR",MAC,-,-,0,33,-
2022,Madagascar,MDG,-,-,460,506,-
2022,Martinique,MTQ,-,-,0,361,-
2022,Mauritania,MRT,-,-,36785,8352,-
2022,"North Macedonia",MKD,-,-,1901,3288,-
2022,"Rep. of Moldova",MDA,-,-,3620,6412,-
2022,Maldives,MDV,-,-,84,109,-
