Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","06/04/2023 14:28 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=15Eqwr
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Angola,AGO,Netherlands,NLD,215,8,-
2022,Angola,AGO,Norway,NOR,5,0,-
2022,Angola,AGO,Peru,PER,0,10,-
2022,Angola,AGO,Poland,POL,5,0,-
2022,Angola,AGO,Portugal,PRT,110,225,-
2022,Angola,AGO,Romania,ROU,10,0,-
2022,Angola,AGO,"South Africa",ZAF,24,11,-
2022,Angola,AGO,Rwanda,RWA,9,0,-
2022,Angola,AGO,Spain,ESP,39,25,-
2022,Angola,AGO,Slovakia,SVK,24,0,-
2022,Angola,AGO,Eswatini,SWZ,12,0,-
2022,Angola,AGO,Sweden,SWE,22,10,-
2022,Angola,AGO,Switzerland,CHE,640,38,-
2022,Angola,AGO,Ukraine,UKR,23,0,-
2022,Angola,AGO,Uruguay,URY,14,0,-
2022,Angola,AGO,"United States of America",USA,323,3644,-
2022,Angola,AGO,Zimbabwe,ZWE,0,6,-
2022,"Antigua and Barbuda",ATG,Canada,CAN,36,28,-
2022,"Antigua and Barbuda",ATG,"United Kingdom of Great Britain and Northern Ireland",GBR,7,12,-
2022,"Antigua and Barbuda",ATG,"United States of America",USA,6,15,-
2022,Egypt,EGY,Argentina,ARG,5,22,-
2022,Egypt,EGY,Armenia,ARM,5,0,-
2022,Egypt,EGY,Australia,AUS,1214,224,-
2022,Egypt,EGY,Austria,AUT,212,340,-
2022,Egypt,EGY,Bahrain,BHR,0,5,-
2022,Egypt,EGY,Belgium,BEL,113,84,-
2022,Egypt,EGY,Belarus,BLR,0,5,-
2022,Egypt,EGY,Brazil,BRA,70,453,-
2022,Egypt,EGY,Bulgaria,BGR,19,34,-
2022,Egypt,EGY,Canada,CAN,816,425,-
2022,Egypt,EGY,Cyprus,CYP,125,394,-
2022,Egypt,EGY,Czechia,CZE,8,8,-
2022,Egypt,EGY,Denmark,DNK,18,13,-
2022,Egypt,EGY,Ecuador,ECU,5,8,-
2022,Egypt,EGY,Estonia,EST,5,0,-
2022,Egypt,EGY,Ethiopia,ETH,5,0,-
2022,Egypt,EGY,Finland,FIN,41,22,-
2022,Egypt,EGY,France,FRA,1670,368,-
2022,Egypt,EGY,"United Kingdom of Great Britain and Northern Ireland",GBR,980,1379,-
2022,Egypt,EGY,Georgia,GEO,69,45,-
2022,Egypt,EGY,Germany,DEU,2621,1133,-
2022,Egypt,EGY,Ghana,GHA,0,16,-
2022,Egypt,EGY,Greece,GRC,432,1875,-
2022,Egypt,EGY,"China, Hong Kong SAR",HKG,13,0,-
2022,Egypt,EGY,Croatia,HRV,8,0,-
2022,Egypt,EGY,Hungary,HUN,11,0,-
2022,Egypt,EGY,Iceland,ISL,10,0,-
2022,Egypt,EGY,"Cote d'Ivoire",CIV,5,5,-
2022,Egypt,EGY,India,IND,0,11,-
2022,Egypt,EGY,Indonesia,IDN,13,20,-
2022,Egypt,EGY,Ireland,IRL,57,188,-
2022,Egypt,EGY,Iraq,IRQ,0,42,-
2022,Egypt,EGY,Italy,ITA,937,4657,-
2022,Egypt,EGY,Jordan,JOR,126,482,-
2022,Egypt,EGY,Kenya,KEN,0,17,-
2022,Egypt,EGY,"Rep. of Korea",KOR,72,753,-
2022,Egypt,EGY,Kuwait,KWT,6,19,-
2022,Egypt,EGY,Lebanon,LBN,129,446,-
2022,Egypt,EGY,Luxembourg,LUX,5,5,-
2022,Egypt,EGY,Latvia,LVA,5,0,-
2022,Egypt,EGY,"Rep. of Moldova",MDA,5,5,-
2022,Egypt,EGY,Mexico,MEX,5,17,-
2022,Egypt,EGY,Malaysia,MYS,18,83,-
2022,Egypt,EGY,Morocco,MAR,5,11,-
2022,Egypt,EGY,Malta,MLT,74,94,-
2022,Egypt,EGY,Netherlands,NLD,458,188,-
2022,Egypt,EGY,Nigeria,NGA,0,7,-
2022,Egypt,EGY,Norway,NOR,43,0,-
2022,Egypt,EGY,"New Zealand",NZL,23,5,-
2022,Egypt,EGY,Philippines,PHL,0,6,-
2022,Egypt,EGY,Poland,POL,91,28,-
2022,Egypt,EGY,Portugal,PRT,38,18,-
2022,Egypt,EGY,Qatar,QAT,13,18,-
2022,Egypt,EGY,Romania,ROU,19,15,-
2022,Egypt,EGY,"South Africa",ZAF,7,227,-
