objectid,iso3,gis_name,ref_conv_1951,ref_conv_1951_date,ref_prot_1967,ref_prot_1967_date,ref_conv_prot_note,sta_conv_1954,sta_conv_1954_date,sta_conv_1961,sta_conv_1961_date,sta_conv_prot_note,unhcr_region,region,subregion,code_op,excom,comments,globalid,region_pcode,m49code,short_name_en,short_name_sp,short_name_ar,short_name_fr,short_name_ru,short_name_ch,m49_region,m49_region_group,m49_sub_region,hcr3,color_code,territory,entity_last_update
39,BGD,Bangladesh,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,South East Asia,BGD ABC,Inactive,NA,{DF625ADA-6105-45EE-8637-4477EA09E0AC},RBAP,50,Bangladesh,Bangladesh,بنغلاديش,Bangladesh,Бангладеш,孟加拉国,Asia,,Southern Asia,BGD,BGD,NA,1666109157000
164,SWE,Sweden,Active,-479174400000,Active,-70848000000,,Active,-149904000000,Active,-27302400000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,Inactive,NA,{AC045BE1-2F64-4259-9174-9633C4F15FFA},RBE,752,Sweden,Suecia,السويد,Suède,Швеция,瑞典,Europe,,Northern Europe,SWE,SWE,NA,1666109157000
65,COD,Democratic Republic of the Congo,Active,-140572800000,Active,158803200000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Central Africa and the Great Lakes,COD RO ABC,Inactive,NA,{D92EECCF-773D-42E9-BD8C-A5FAE38BAAEB},RBSA,180,Democratic Republic of the Congo,República Democrática del Congo,جمهورية الكونغو الديمقراطية,République démocratique du Congo,Демократическая Республика Конго,刚果民主共和国,Africa,Sub-Saharan Africa,Middle Africa,COD,COD,NA,1666109157000
185,GRL,Greenland (DNK),Active,-2209161600000,Active,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",0,Inactive,NA,{EFAAB1CC-BFF9-474C-B090-6ECDAC830761},RBE,304,Greenland,Groenlandia,غرينلند,Groenland,Гренландия,格陵兰,Americas,,Northern America,NA,DNK,NA,1666109157000
4,VCT,Saint Vincent and the Grenadines,Active,752284800000,Active,1067817600000,,Active,925171200000,Inactive,-2209161600000,,Regional Bureau for the Americas ,Americas,North America and the Caribbean,USA RO ABC,Inactive,NA,{F4F7D6AF-3141-466C-B1DC-A0C8B9DEC976},RBA,670,Saint Vincent and the Grenadines,San Vicente y las Granadinas,سانت فنسنت وجزر غرينادين,Saint-Vincent-et-les Grenadines,Сент-Винсент и Гренадины,圣文森特和格林纳丁斯,Americas,Latin America and the Caribbean,Caribbean,VCT,VCT,NA,1666109157000
174,MUS,Mauritius,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,ZAF RO ABC,Inactive,NA,{7C1F5945-F0FC-4101-9493-80D9C9C739A6},RBSA,480,Mauritius,Mauricio,موريشيوس,Maurice,Маврикий,毛里求斯,Africa,Sub-Saharan Africa,Eastern Africa,MTS,MUS,NA,1666109157000
200,WSM,Samoa,Active,590803200000,Active,786067200000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,Inactive,NA,{5DB94CBA-7302-4125-B68D-0A05556F5A1B},RBAP,882,Samoa,Samoa,ساموا,Samoa,Самоа,萨摩亚,Oceania,,Polynesia,WES,WSM,NA,1666109157000
197,BWA,Botswana,Active,-31104000000,Active,-31104000000,,Active,-26784000000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,ZAF RO ABC,Inactive,NA,{E45FF374-69CF-4391-9F66-6C00D58D5AC2},RBSA,72,Botswana,Botswana,بوتسوانا,Botswana,Ботсвана,博茨瓦纳,Africa,Sub-Saharan Africa,Southern Africa,BOT,BWA,NA,1666109157000
199,KOR,Republic of Korea,Active,723340800000,Active,723340800000,,Active,-232329600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,KOR ABC,Inactive,NA,{40C562C0-4E54-457D-88E4-A886DE402BAB},RBAP,410,Republic of Korea,República de Corea,جمهورية كوريا,République de Corée,Республика Корея,大韩民国,Asia,,Eastern Asia,KOR,KOR,NA,1666109157000
90,ATG,Antigua and Barbuda,Active,810432000000,Active,810432000000,,Active,593740800000,Inactive,-2209161600000,,Regional Bureau for the Americas ,Americas,North America and the Caribbean,USA RO ABC,Inactive,NA,{6F2441A7-AA6E-4A92-B410-6DE903C8DA2C},RBA,28,Antigua and Barbuda,Antigua y Barbuda,أنتيغوا وبربودا,Antigua-et-Barbuda,Антигуа и Барбуда,安提瓜和巴布达,Americas,Latin America and the Caribbean,Caribbean,ANT,ATG,NA,1666109157000
